repo,module,category,vendors,license,is_oca,16.0_present,17.0_present,18.0_present,19.0_present,master_present,16.0_state,17.0_state,18.0_state,19.0_state,master_state,16.0_status,17.0_status,18.0_status,19.0_status,master_status,16.0_cause,17.0_cause,18.0_cause,19.0_cause,master_cause,16.0_installable,17.0_installable,18.0_installable,19.0_installable,master_installable,16.0_version,17.0_version,18.0_version,19.0_version,master_version,16.0_image,17.0_image,18.0_image,19.0_image,master_image,16.0_run_date,17.0_run_date,18.0_run_date,19.0_run_date,master_run_date
account-analytic,account_move_update_analytic,Accounting & Finance,Le Filament;Moduon,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.0.2,17.0.1.2.1,18.0.1.0.0,19.0.1.1.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-analytic,analytic_amount_security,Technical,Moduon,LGPL-3,1,1,0,1,1,0,verified,,verified,verified,,ok,,ok,ok,,,,,,,1,,1,1,,16.0.1.0.1,,18.0.1.0.0,19.0.1.0.1,,modidx/odoo:16.0-deps-20260821,,odoo:18.0,odoo:19.0,,2026-08-21,,2026-08-19,2026-08-19,
account-analytic,analytic_base_department,Generic Modules/Projects & Services,Camptocamp;Daniel Reis,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.0,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-21,2026-08-19,,
account-analytic,analytic_distribution_widget_remove_save,,ACSONE SA/NV,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.1,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-22,,,,
account-analytic,analytic_hr_department_restriction,Account,Tecnativa,AGPL-3,1,1,0,1,0,0,verified,,verified,,,ok,,ok,,,,,,,,1,,1,,,16.0.1.1.0,,18.0.1.1.1,,,modidx/odoo:16.0-deps-20260821,,odoo:18.0,,,2026-08-21,,2026-08-19,,
account-analytic,analytic_mixin_analytic_account,Analytic Accounting,Quartile,LGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-22,,,,
account-analytic,analytic_partner,Analytic Accounting,Tecnativa,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.0,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-21,2026-08-19,,
account-analytic,crm_claim_analytic,Customer Relationship Management,AvanzOSC,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-analytic,hr_department_analytic,,ACSONE SA/NV,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-22,,,,
account-analytic,hr_expense_analytic_tag,Accounting & Finance,Tecnativa,AGPL-3,1,1,0,1,1,0,verified,,verified,verified,,ok,,ok,ok,,,,,,,1,,1,1,,16.0.1.0.2,,18.0.1.0.2,19.0.1.0.2,,modidx/odoo:16.0-deps-20260821,,odoo:18.0,odoo:19.0,,2026-08-21,,2026-08-19,2026-08-19,
account-analytic,hr_timesheet_analytic_tag,Accounting & Finance,Tecnativa,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.0,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-21,2026-08-19,,
account-analytic,mrp_stock_analytic,Manufacturing/Manufacturing,Quartile Limited,AGPL-3,1,1,1,0,0,0,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,16.0.1.0.0,17.0.1.0.0,,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,,,2026-08-21,2026-08-21,,,
account-analytic,pos_analytic_by_config,"Point Of Sale, Accounting",ACSONE SA/NV;Tecnativa,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.0.1,17.0.1.0.0,18.0.1.0.1,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-analytic,product_analytic,Accounting & Finance,Akretion;Tecnativa,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.1.1,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-20,2026-08-19,,
account-analytic,product_analytic_purchase,Purchases,Akretion,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-analytic,product_analytic_sale,Accounting,Akretion,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-analytic,purchase_analytic,Purchase Management,Acsone SA/NV,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.2.1.0,17.0.1.0.0,18.0.1.0.0,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-analytic,purchase_analytic_distribution_model_warehouse,"Purchases, Accounting",Tecnativa,AGPL-3,1,0,0,1,0,0,,,verified,,,,,ok,,,,,,,,,,1,,,,,18.0.1.0.1,,,,,odoo:18.0,,,,,2026-08-19,,
account-analytic,purchase_analytic_required,,ACSONE SA/NV,AGPL-3,1,0,0,0,1,0,,,,verified,,,,,ok,,,,,,,,,,1,,,,,19.0.1.0.0,,,,,odoo:19.0,,,,,2026-08-19,
account-analytic,purchase_analytic_tag,Purchase Management,Tecnativa,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.0,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-21,2026-08-19,,
account-analytic,purchase_request_analytic,Purchase Management,ForgeFlow,AGPL-3,1,0,1,0,0,0,,verified,,,,,ok,,,,,,,,,,1,,,,,17.0.1.0.0,,,,,modidx/odoo:17.0-deps-20260820,,,,,2026-08-20,,,
account-analytic,purchase_stock_analytic,,ACSONE SA/NV,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.1,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-20,2026-08-19,,
account-analytic,sale_analytic_distribution_model_warehouse,"Purchases, Accounting",Tecnativa,AGPL-3,1,0,0,1,0,0,,,verified,,,,,ok,,,,,,,,,,1,,,,,18.0.1.0.2,,,,,odoo:18.0,,,,,2026-08-19,,
account-analytic,sale_analytic_tag,Accounting & Finance,Tecnativa,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.0.1,17.0.1.0.0,18.0.1.0.0,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-21,2026-08-19,2026-08-19,
account-analytic,stock_analytic,Warehouse Management,Julius Network Solutions;ClearCorp;OpenSynergy Indonesia;Hibou Corp.,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.4.0,17.0.1.2.1,18.0.1.2.0,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-21,2026-08-19,2026-08-19,
account-analytic,stock_analytic_rule,Warehouse Management,APSL-Nagarro;Bernat Obrador,AGPL-3,1,0,1,0,0,0,,verified,,,,,ok,,,,,,,,,,1,,,,,17.0.1.0.0,,,,,modidx/odoo:17.0-deps-20260820,,,,,2026-08-21,,,
account-analytic,stock_landed_costs_analytic,,ACSONE SA/NV,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.0,17.0.1.0.0,18.0.1.0.1,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-21,2026-08-19,,
account-analytic,stock_picking_analytic,,ACSONE SA/NV,AGPL-3,1,1,1,0,1,0,verified,verified,,verified,,ok,ok,,ok,,,,,,,1,1,,1,,16.0.1.0.1,17.0.1.0.0,,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,modidx/odoo:19.0-deps-20260819b,,2026-08-21,2026-08-20,,2026-08-22,
account-budgeting,account_budget_oca,Accounting,,LGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.0.2,17.0.1.0.0,18.0.1.2.0,19.0.1.1.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-closing,account_cutoff_accrual_order_base,Accounting & Finance,BCIM;Akretion,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.1.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-22,,,,
account-closing,account_cutoff_accrual_order_stock_base,Accounting & Finance,BCIM,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-closing,account_cutoff_accrual_purchase,Accounting & Finance,BCIM,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-22,,,,
account-closing,account_cutoff_accrual_purchase_stock,Accounting & Finance,BCIM,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.1.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-closing,account_cutoff_accrual_sale,Accounting & Finance,BCIM,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.1.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-closing,account_cutoff_accrual_sale_stock,Accounting & Finance,BCIM,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.1.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-closing,account_cutoff_accrual_sale_stock_delivery,Accounting & Finance,BCIM,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.1.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-closing,account_cutoff_accrual_subscription,Accounting,Akretion,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.2.0,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-20,2026-08-19,,
account-closing,account_cutoff_base,Accounting & Finance,Akretion,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.6.0,17.0.1.2.0,18.0.1.0.1,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-20,2026-08-19,,
account-closing,account_cutoff_picking,Accounting,Akretion,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.3.1,17.0.1.1.1,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-20,2026-08-19,,
account-closing,account_cutoff_start_end_dates,Accounting & Finance,Akretion,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.1.0,17.0.1.1.0,18.0.1.1.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-20,2026-08-19,,
account-closing,account_fiscal_year_closing,Accounting & Finance,,AGPL-3,1,1,0,1,1,0,verified,,verified,verified,,ok,,ok,ok,,,,,,,1,,1,1,,16.0.1.0.0,,18.0.1.0.0,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,,odoo:18.0,odoo:19.0,,2026-08-21,,2026-08-19,2026-08-19,
account-closing,account_fiscal_year_closing_range,Accounting & Finance,Escodoo,AGPL-3,1,0,0,1,0,0,,,verified,,,,,ok,,,,,,,,,,1,,,,,18.0.1.0.0,,,,,odoo:18.0,,,,,2026-08-19,,
account-closing,account_invoice_start_end_dates,Accounting & Finance,Akretion,LGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.5.0,17.0.1.4.0,18.0.1.3.0,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-closing,account_invoice_start_end_dates_move,Accounting & Finance,Sergio Corato,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-closing,account_move_cutoff,Accounting & Finance,Pierre Verkest <pierreverkest84@gmail.com>,AGPL-3,1,0,1,0,0,0,,verified,,,,,ok,,,,,,,,,,1,,,,,17.0.0.1.0,,,,,modidx/odoo:17.0-deps-20260820,,,,,2026-08-20,,,
account-closing,account_multicurrency_revaluation,Finance,Camptocamp,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.1,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-financial-reporting,account_financial_report,Reporting,Camptocamp;initOS GmbH;redCOR AG;ForgeFlow,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.18.0,17.0.1.9.11,18.0.1.4.24,19.0.0.0.20,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,modidx/odoo:18.0-deps-20260820,modidx/odoo:19.0-deps-20260819b,,2026-08-21,2026-08-22,2026-08-22,2026-08-21,
account-financial-reporting,account_financial_report_sale,Reporting,Tecnativa,AGPL-3,1,1,0,1,0,0,verified,,verified,,,ok,,ok,,,,,,,,1,,1,,,16.0.1.1.0,,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,,odoo:18.0,,,2026-08-21,,2026-08-19,,
account-financial-reporting,account_liquidity_forecast,Reporting,ForgeFlow,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-financial-reporting,account_move_line_report_xls,Accounting & Finance,Noviat,AGPL-3,1,0,1,1,0,0,,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,17.0.1.0.0,18.0.1.0.0,,,,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,,2026-08-20,2026-08-19,,
account-financial-reporting,account_purchase_stock_report_non_billed,,Tecnativa,AGPL-3,1,1,1,0,0,0,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,16.0.1.0.1,17.0.1.0.0,,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,,,2026-08-21,2026-08-20,,,
account-financial-reporting,account_sale_stock_report_non_billed,,Tecnativa,AGPL-3,1,1,1,0,0,0,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,16.0.1.0.0,17.0.1.0.0,,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,,,2026-08-21,2026-08-20,,,
account-financial-reporting,account_tax_balance,Invoices & Payments,Agile Business Group;Therp BV;Tecnativa;ACSONE SA/NV,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.1.4,17.0.1.0.2,18.0.1.0.4,19.0.1.0.3,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-21,2026-08-19,2026-08-19,
account-financial-reporting,mis_builder_cash_flow,,ADHOC SA,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.1.0,17.0.1.0.1,18.0.1.0.1,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,modidx/odoo:18.0-deps-20260820,,,2026-08-22,2026-08-20,2026-08-20,,
account-financial-reporting,mis_template_financial_report,Localization,Hunki Enterprises BV,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.0,17.0.1.0.1,18.0.2.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,modidx/odoo:18.0-deps-20260820,,,2026-08-21,2026-08-21,2026-08-20,,
account-financial-reporting,partner_statement,Accounting & Finance,ForgeFlow,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.3.3,17.0.1.3.3,18.0.1.2.0,19.0.1.1.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-financial-tools,account_account_tag_code,,ForgeFlow,AGPL-3,1,1,1,0,1,0,verified,verified,,verified,,ok,ok,,ok,,,,,,,1,1,,1,,16.0.1.0.0,17.0.1.0.0,,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,odoo:19.0,,2026-08-21,2026-08-21,,2026-08-19,
account-financial-tools,account_asset_batch_compute,,ACSONE SA/NV;ForgeFlow,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-financial-tools,account_asset_compute_batch,Accounting & Finance,Ecosoft,AGPL-3,1,0,0,1,0,0,,,verified,,,,,ok,,,,,,,,,,1,,,,,18.0.1.0.0,,,,,odoo:18.0,,,,,2026-08-19,,
account-financial-tools,account_asset_force_account,Accounting & Finance,Bernat Obrador (APSL-Nagarro),AGPL-3,1,0,1,1,1,0,,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,17.0.1.1.0,18.0.1.0.0,19.0.1.0.0,,,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,,2026-08-20,2026-08-19,2026-08-19,
account-financial-tools,account_asset_low_value,Accounting & Finance,Ecosoft,AGPL-3,1,1,0,1,0,0,verified,,verified,,,ok,,ok,,,,,,,,1,,1,,,16.0.1.0.0,,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,,odoo:18.0,,,2026-08-22,,2026-08-19,,
account-financial-tools,account_asset_management,Accounting & Finance,Noviat,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.3.0,17.0.1.2.2,18.0.1.1.10,19.0.1.0.2,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-financial-tools,account_asset_management_stock_lot,Accounting & Finance,Akretion,AGPL-3,1,1,1,0,0,0,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,16.0.1.0.0,17.0.1.0.0,,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,,,2026-08-21,2026-08-20,,,
account-financial-tools,account_asset_number,Accounting & Finance,Ecosoft,AGPL-3,1,1,0,1,0,0,verified,,verified,,,ok,,ok,,,,,,,,1,,1,,,16.0.1.1.0,,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,,odoo:18.0,,,2026-08-21,,2026-08-19,,
