base_series,next_series,module,repo,needed_by,needed_by_stuck,unblocks_alone,auto_install_deps,last_commit
18.0,19.0,account_cutoff_base,account-closing,2,2,2,0,2026-06-08
18.0,19.0,account_invoice_download,edi,2,2,2,0,2026-05-13
18.0,19.0,account_move_line_stock_info,stock-logistics-warehouse,2,2,2,0,2025-11-24
18.0,19.0,account_tax_one_vat,account-invoicing,2,2,2,0,2026-03-18
18.0,19.0,api_log,rest-framework,2,2,2,0,2026-07-31
18.0,19.0,auth_jwt,server-auth,2,2,2,0,2026-02-20
18.0,19.0,base_import_pdf_by_template,edi,2,2,2,0,2026-08-11
18.0,19.0,edi_account_core_oca,edi-framework,2,2,2,0,2025-10-02
18.0,19.0,hr_collective_agreement,hr,2,2,2,0,2026-07-02
18.0,19.0,l10n_es_vat_prorate,l10n-spain,2,2,2,0,2026-05-11
18.0,19.0,l10n_it_delivery_note,l10n-italy,2,2,2,2,2026-07-03
18.0,19.0,l10n_it_edi_extension,l10n-italy,2,2,2,1,2026-07-02
18.0,19.0,l10n_us_sales_tax_engine,l10n-usa,2,2,2,0,2026-07-28
18.0,19.0,loyalty_partner_applicability,sale-promotion,2,2,2,0,2025-08-29
18.0,19.0,mail_gateway,social,2,2,2,0,2026-08-11
18.0,19.0,mis_template_financial_report,account-financial-reporting,2,2,2,0,2026-06-29
18.0,19.0,pos_divide_order_summary,pos,2,2,2,0,2026-03-12
18.0,19.0,purchase_work_acceptance,purchase-workflow,2,2,2,1,2026-06-13
18.0,19.0,sale_payment_sheet,sale-workflow,2,2,2,0,2026-06-19
18.0,19.0,stock_inventory_discrepancy,stock-logistics-warehouse,2,2,2,0,2026-06-03
18.0,19.0,stock_move_common_dest,stock-logistics-warehouse,2,2,2,0,2026-06-25
18.0,19.0,stock_vlm_mgmt,stock-logistics-warehouse,2,2,2,0,2026-06-25
18.0,19.0,web_leaflet_lib,geospatial,2,2,2,0,2025-11-20
18.0,19.0,web_view_leaflet_map,geospatial,2,2,2,0,2026-02-04
18.0,19.0,web_widget_x2many_2d_matrix,web,2,2,2,1,2026-06-06
18.0,19.0,shopfloor_mobile_base,shopfloor-app,6,6,1,0,2026-08-11
18.0,19.0,sale_brand,brand,4,4,1,0,2026-06-22
18.0,19.0,base_repair_config,repair,3,3,1,0,2026-07-02
18.0,19.0,delivery_procurement_group_carrier,stock-logistics-workflow,3,3,1,2,2026-05-10
18.0,19.0,l10n_br_fiscal_certificate,l10n-brazil,3,3,1,0,2026-08-14
18.0,19.0,l10n_br_fiscal_edi,l10n-brazil,3,3,1,0,2026-05-29
18.0,19.0,l10n_py_base,l10n-paraguay,3,3,1,0,2026-08-03
18.0,19.0,sale_loyalty_order_line_link,sale-promotion,3,3,1,0,2025-06-23
18.0,19.0,sale_order_lot_selection,sale-workflow,3,3,1,0,2026-07-20
18.0,19.0,shipment_advice,stock-logistics-transport,3,3,1,0,2026-06-25
18.0,19.0,stay,vertical-abbey,3,3,1,0,2026-06-17
18.0,19.0,stock_route_location_source,stock-logistics-warehouse,3,3,1,0,2026-06-30
18.0,19.0,account_avatax_oca,account-fiscal-rule,2,2,1,1,2025-07-21
18.0,19.0,account_billing,account-invoicing,2,2,1,0,2026-07-01
18.0,19.0,base_facturx,edi,2,2,1,0,2026-05-13
18.0,19.0,base_sequence_option,server-tools,2,2,1,0,2026-02-20
18.0,19.0,contract_forecast,contract,2,2,1,0,2026-06-13
18.0,19.0,dms_field,dms,2,2,1,0,2026-08-11
18.0,19.0,edi_exchange_template_oca,edi-framework,2,2,1,1,2026-08-13
18.0,19.0,edi_state_oca,edi-framework,2,2,1,0,2026-02-24
18.0,19.0,extendable_fastapi,rest-framework,2,2,1,0,2026-03-16
18.0,19.0,helpdesk_mgmt_timesheet,helpdesk,2,2,1,0,2026-08-12
18.0,19.0,hr_timesheet_time_type,timesheet,2,2,1,0,2025-04-22
18.0,19.0,l10n_br_cnpj_search,l10n-brazil,2,2,1,0,2026-08-10
18.0,19.0,l10n_br_sale,l10n-brazil,2,2,1,1,2026-08-14
18.0,19.0,l10n_jp_summary_invoice,l10n-japan,2,2,1,0,2026-05-14
18.0,19.0,printing_auto_stock_picking,stock-logistics-reporting,2,2,1,0,2025-11-26
18.0,19.0,product_route_mto,product-attribute,2,2,1,0,2026-06-27
18.0,19.0,purchase_exception,purchase-workflow,2,2,1,0,2026-06-11
18.0,19.0,sale_invoice_plan,sale-workflow,2,2,1,0,2026-05-10
18.0,19.0,shopfloor_workstation,shopfloor-app,2,2,1,0,2025-07-21
18.0,19.0,stock_location_pending_move,stock-logistics-warehouse,2,2,1,0,2025-04-30
18.0,19.0,stock_measuring_device,stock-logistics-interfaces,2,2,1,0,2025-10-02
18.0,19.0,stock_move_line_qty_picked,stock-logistics-workflow,2,2,1,2,2026-06-22
18.0,19.0,stock_picking_delivery_package_type_domain,delivery-carrier,2,2,1,0,2026-07-20
18.0,19.0,web_widget_remote_measure,stock-weighing,2,2,1,0,2026-06-25
18.0,19.0,sale_procurement_group_by_line,sale-workflow,3,1,1,0,2026-06-01
18.0,19.0,account_reconcile_model_oca,account-reconcile,2,1,1,0,2026-05-09
18.0,19.0,l10n_fr_siret_account,l10n-france,2,1,1,0,2026-05-27
18.0,19.0,membership_extension,vertical-association,2,1,1,0,2026-07-02
18.0,19.0,account_cash_invoice,account-payment,1,1,1,0,2026-06-16
18.0,19.0,account_cutoff_start_end_dates,account-closing,1,1,1,0,2026-06-17
18.0,19.0,account_dashboard_banner,account-financial-tools,1,1,1,0,2026-06-11
18.0,19.0,account_ecotax,account-fiscal-rule,1,1,1,0,2026-07-07
18.0,19.0,account_fiscal_position_partner_type,account-fiscal-rule,1,1,1,0,2026-06-09
18.0,19.0,account_invoice_custom_rounding,account-invoicing,1,1,1,0,2026-02-04
18.0,19.0,account_manual_currency,account-invoicing,1,1,1,0,2026-06-24
18.0,19.0,account_move_line_purchase_info,account-financial-tools,1,1,1,0,2026-07-20
18.0,19.0,account_payment_promissory_note,account-payment,1,1,1,0,2026-07-08
18.0,19.0,account_statement_import_ofx,bank-statement-import,1,1,1,0,2026-05-31
18.0,19.0,account_vendor_bank_account_default,bank-payment,1,1,1,0,2026-06-06
18.0,19.0,ai_tool,ai,1,1,1,0,2026-07-24
18.0,19.0,attachment_queue,server-tools,1,1,1,0,2026-02-20
18.0,19.0,auth_saml,server-auth,1,1,1,0,2026-06-18
18.0,19.0,barcode_action,server-ux,1,1,1,0,2026-05-14
18.0,19.0,base_fontawesome,server-tools,1,1,1,1,2026-06-12
18.0,19.0,base_geoengine,geospatial,1,1,1,0,2026-02-26
18.0,19.0,base_multi_image,server-tools,1,1,1,0,2026-05-14
18.0,19.0,base_time_parameter,server-tools,1,1,1,0,2026-08-17
18.0,19.0,contract_termination,contract,1,1,1,0,2026-07-02
18.0,19.0,data_encryption,server-env,1,1,1,0,2025-11-13
18.0,19.0,ddmrp_cron_actions_as_job,ddmrp,1,1,1,0,2025-10-08
18.0,19.0,document_quick_access,server-ux,1,1,1,0,2025-08-04
18.0,19.0,donation_base,donation,1,1,1,0,2026-08-11
18.0,19.0,edi_oca,edi-framework,1,1,1,0,2026-05-29
18.0,19.0,edi_storage_oca,edi-framework,1,1,1,0,2026-06-03
18.0,19.0,endpoint_cache,web-api,1,1,1,0,2025-08-25
18.0,19.0,event_contact,event,1,1,1,0,2026-06-26
18.0,19.0,fastapi_captcha,rest-framework,1,1,1,0,2026-07-16
18.0,19.0,github_connector,interface-git,1,1,1,0,2026-03-31
18.0,19.0,helpdesk_mgmt_fieldservice_equipment,helpdesk,1,1,1,0,2026-07-23
18.0,19.0,helpdesk_mgmt_sla,helpdesk,1,1,1,0,2026-07-07
18.0,19.0,hr_attendance_reason,hr-attendance,1,1,1,0,2026-07-15
18.0,19.0,hr_employee_service,hr,1,1,1,0,2026-01-30
18.0,19.0,hr_expense_payment,hr-expense,1,1,1,0,2026-06-02
18.0,19.0,hr_personal_equipment_request,hr,1,1,1,1,2026-04-20
18.0,19.0,hr_shift,shift-planning,1,1,1,0,2026-08-11
18.0,19.0,l10n_br_account,l10n-brazil,1,1,1,2,2026-08-14
18.0,19.0,l10n_br_nfse,l10n-brazil,1,1,1,0,2026-08-10
18.0,19.0,l10n_de_tax_statement,l10n-germany,1,1,1,0,2026-04-25
18.0,19.0,l10n_es_aeat_sii_invoice_summary,l10n-spain,1,1,1,0,2026-03-04
18.0,19.0,l10n_es_cnae,l10n-spain,1,1,1,0,2025-06-12
18.0,19.0,l10n_es_digital_canon,l10n-spain,1,1,1,0,2026-06-12
18.0,19.0,l10n_eu_nace,community-data-files,1,1,1,0,2026-06-07
18.0,19.0,l10n_it_edi_related_document,l10n-italy,1,1,1,0,2026-07-27
18.0,19.0,l10n_it_intrastat,l10n-italy,1,1,1,0,2026-04-22
18.0,19.0,l10n_py_edi_base,l10n-paraguay,1,1,1,0,2026-07-21
18.0,19.0,l10n_th_partner,l10n-thailand,1,1,1,0,2026-04-10
18.0,19.0,l10n_us_base_county,l10n-usa,1,1,1,0,2026-01-06
18.0,19.0,l10n_us_gaap,l10n-usa,1,1,1,0,2026-06-29
18.0,19.0,loyalty_criteria_multi_product,sale-promotion,1,1,1,0,2026-05-22
18.0,19.0,mail_gateway_telegram,social,1,1,1,0,2026-05-04
18.0,19.0,mgmtsystem_objective,management-system,1,1,1,0,2026-03-17
18.0,19.0,nutritional_info,product-attribute,1,1,1,0,2026-08-10
18.0,19.0,partner_archive_propagate,partner-contact,1,1,1,0,2026-06-08
18.0,19.0,partner_autocomplete_oca,l10n-finland,1,1,1,0,2026-06-16
18.0,19.0,partner_capital,partner-contact,1,1,1,0,2026-02-01
18.0,19.0,partner_phonecall_schedule,partner-contact,1,1,1,0,2026-05-31
18.0,19.0,printing_auto_base,report-print-send,1,1,1,1,2026-03-23
18.0,19.0,privacy,data-protection,1,1,1,0,2026-06-26
18.0,19.0,product_abc_classification,product-attribute,1,1,1,0,2026-07-21
18.0,19.0,product_category_product_link,product-attribute,1,1,1,0,2026-06-03
18.0,19.0,product_configurator,product-configurator,1,1,1,1,2026-07-28
18.0,19.0,product_eprel,product-attribute,1,1,1,0,2026-06-18
18.0,19.0,product_lot_sequence,product-attribute,1,1,1,0,2026-06-27
18.0,19.0,product_multi_barcode,stock-logistics-barcode,1,1,1,0,2025-09-24
18.0,19.0,product_next_reception_date,product-attribute,1,1,1,0,2026-06-27
18.0,19.0,product_packaging_level_salable,product-attribute,1,1,1,0,2026-06-27
18.0,19.0,product_route_profile,stock-logistics-warehouse,1,1,1,0,2026-06-25
18.0,19.0,product_sale_manufactured_for,product-attribute,1,1,1,0,2026-06-27
18.0,19.0,product_sticker,product-attribute,1,1,1,1,2026-04-19
18.0,19.0,product_supplierinfo_import,product-attribute,1,1,1,0,2026-06-07
18.0,19.0,product_total_weight_from_packaging,product-attribute,1,1,1,0,2026-06-03
18.0,19.0,project_task_stock,project,1,1,1,0,2026-08-10
18.0,19.0,purchase_manual_currency,purchase-workflow,1,1,1,0,2026-06-27
18.0,19.0,purchase_open_qty,purchase-workflow,1,1,1,0,2026-06-13
18.0,19.0,repair_order_template,repair,1,1,1,0,2026-07-02
18.0,19.0,sale_company_currency,sale-workflow,1,1,1,0,2026-06-09
18.0,19.0,sale_order_line_cancel,sale-workflow,1,1,1,0,2026-07-16
18.0,19.0,sale_stock_release_channel_delivery,stock-logistics-release-channel,1,1,1,0,2025-07-04
18.0,19.0,stock_dock,stock-logistics-transport,1,1,1,0,2026-06-25
18.0,19.0,stock_location_address,stock-logistics-transport,1,1,1,0,2026-06-25
18.0,19.0,stock_location_tray,stock-logistics-warehouse,1,1,1,0,2026-06-25
18.0,19.0,stock_location_zone,stock-logistics-warehouse,1,1,1,0,2025-03-10
18.0,19.0,stock_move_actual_date,stock-logistics-workflow,1,1,1,0,2026-07-17
18.0,19.0,stock_move_original_date,stock-logistics-workflow,1,1,1,0,2026-08-11
18.0,19.0,stock_move_propagate_first_move,stock-logistics-workflow,1,1,1,0,2026-05-20
18.0,19.0,stock_picking_batch_account,stock-logistics-workflow,1,1,1,0,2026-06-16
18.0,19.0,stock_picking_batch_print_pickings,stock-logistics-workflow,1,1,1,0,2026-05-10
18.0,19.0,stock_picking_group_by_partner_by_carrier,stock-logistics-workflow,1,1,1,2,2026-07-20
18.0,19.0,stock_release_channel_shipment_lead_time,stock-logistics-release-channel,1,1,1,1,2026-02-26
18.0,19.0,stock_return_request,stock-logistics-request,1,1,1,0,2026-06-19
18.0,19.0,stock_route_mto,stock-logistics-warehouse,1,1,1,0,2026-06-30
18.0,19.0,stock_split_picking_dimension,stock-logistics-workflow,1,1,1,0,2025-08-20
18.0,19.0,vault,server-auth,1,1,1,0,2026-07-29
18.0,19.0,vcp_git,version-control-platform,1,1,1,0,2026-04-08
18.0,19.0,web_theme_classic,web,1,1,1,0,2026-06-07
18.0,19.0,web_widget_dropdown_dynamic,web,1,1,1,0,2026-06-06
18.0,19.0,web_widget_open_tab,web,1,1,1,0,2026-06-15
18.0,19.0,website_snippet_country_dropdown,website,1,1,1,0,2026-06-08
18.0,19.0,product_packaging_dimension,product-attribute,4,4,0,0,2026-06-27
18.0,19.0,stock_lot_catalog,stock-logistics-warehouse,4,4,0,0,2026-08-11
18.0,19.0,analytic_brand,brand,3,3,0,0,2026-06-22
18.0,19.0,contract_brand,brand,3,3,0,0,2026-06-22
18.0,19.0,sale_loyalty_order_suggestion,sale-promotion,3,3,0,0,2026-05-25
18.0,19.0,shopfloor_mobile,stock-logistics-shopfloor,3,3,0,0,2026-06-12
18.0,19.0,shopfloor_reception,stock-logistics-shopfloor,3,3,0,1,2026-06-12
18.0,19.0,stock_quant_package_dimension,stock-logistics-tracking,3,3,0,0,2026-08-11
18.0,19.0,account_payment_mode_brand,brand,2,2,0,0,2026-06-22
18.0,19.0,hr_expense_advance_clearing,hr-expense,2,2,0,1,2026-08-01
18.0,19.0,hr_expense_sequence,hr-expense,2,2,0,0,2026-06-02
18.0,19.0,l10n_it_account_vat_period_end_settlement,l10n-italy,2,2,0,0,2026-02-27
18.0,19.0,sale_channel_search_engine,sale-channel,2,2,0,0,2026-06-05
18.0,19.0,sale_semaphore,sale-workflow,2,2,0,0,2026-07-23
18.0,19.0,shipment_advice_planner,stock-logistics-transport,2,2,0,0,2026-06-26
18.0,19.0,shopfloor_reception_mobile,stock-logistics-shopfloor,2,2,0,0,2026-04-24
18.0,19.0,shopfloor_reception_packaging_dimension,stock-logistics-shopfloor,2,2,0,0,2026-03-05
18.0,19.0,stock_lot_list_price,stock-logistics-warehouse,2,2,0,0,2026-06-25
18.0,19.0,stock_picking_batch_creation,stock-logistics-workflow,2,2,0,0,2026-03-20
18.0,19.0,stock_quant_package_product_packaging,stock-logistics-tracking,2,2,0,0,2025-12-15
18.0,19.0,stock_release_channel_process_end_time,stock-logistics-release-channel,2,2,0,1,2025-12-10
18.0,19.0,website_sale_loyalty_suggestion_wizard,sale-promotion,2,2,0,0,2026-05-25
18.0,19.0,account_asset_number,account-financial-tools,1,1,0,0,2026-06-24
18.0,19.0,account_asset_transfer,account-financial-tools,1,1,0,0,2026-06-21
18.0,19.0,account_avatax_exemption_base,account-fiscal-rule,1,1,0,0,2025-07-21
18.0,19.0,account_avatax_sale_oca,account-fiscal-rule,1,1,0,1,2026-04-15
18.0,19.0,account_einvoice_generate,edi,1,1,0,0,2026-05-13
18.0,19.0,agreement_helpdesk_mgmt,agreement,1,1,0,2,2026-01-14
18.0,19.0,api_log_mail,rest-framework,1,1,0,0,2026-05-29
18.0,19.0,auth_partner,rest-framework,1,1,0,0,2026-03-26
18.0,19.0,connector_elasticsearch,search-engine,1,1,0,0,2026-05-27
18.0,19.0,connector_search_engine_serializer_ir_export,search-engine,1,1,0,0,2025-09-15
18.0,19.0,contract_mandate,contract,1,1,0,0,2026-06-07
18.0,19.0,contract_transmit_method,contract,1,1,0,0,2026-06-07
18.0,19.0,contract_variable_qty_prorated,contract,1,1,0,0,2026-06-22
18.0,19.0,delivery_package_type_number_parcels,delivery-carrier,1,1,0,0,2025-08-27
18.0,19.0,dms_auto_classification,dms,1,1,0,0,2026-06-22
18.0,19.0,donation,donation,1,1,0,0,2026-08-11
18.0,19.0,edi_exchange_template_party_data,edi-framework,1,1,0,0,2025-10-14
18.0,19.0,edi_sale_ubl_oca,edi-framework,1,1,0,0,2025-07-24
18.0,19.0,edi_ubl_output_base_oca,edi-framework,1,1,0,0,2026-08-19
18.0,19.0,edi_voxel_sale_order_import_oca,edi-voxel,1,1,0,0,2025-09-12
18.0,19.0,edi_voxel_secondary_unit_oca,edi-voxel,1,1,0,0,2025-07-17
18.0,19.0,edi_xml_oca,edi-framework,1,1,0,0,2025-09-29
18.0,19.0,fastapi_log,rest-framework,1,1,0,0,2026-07-07
18.0,19.0,fs_base_multi_image,storage,1,1,0,0,2026-06-23
18.0,19.0,fs_image_thumbnail,storage,1,1,0,0,2026-05-27
18.0,19.0,helpdesk_mgmt_sale,helpdesk,1,1,0,1,2026-07-07
18.0,19.0,hr_expense_tier_validation,hr-expense,1,1,0,0,2026-06-30
18.0,19.0,internal_stock_quant_package,stock-logistics-tracking,1,1,0,0,2026-06-25
18.0,19.0,l10n_br_fiscal_dfe,l10n-brazil,1,1,0,0,2026-05-29
18.0,19.0,l10n_br_nfe,l10n-brazil,1,1,0,0,2026-08-14
18.0,19.0,l10n_br_nfe_spec,l10n-brazil,1,1,0,0,2026-08-11
18.0,19.0,l10n_br_purchase,l10n-brazil,1,1,0,0,2026-08-19
18.0,19.0,l10n_it_appointment_code,l10n-italy,1,1,0,0,2025-04-10
18.0,19.0,l10n_it_edi_sdi,l10n-italy,1,1,0,0,2026-06-09
18.0,19.0,l10n_it_vat_registries,l10n-italy,1,1,0,0,2026-04-21
18.0,19.0,l10n_it_vat_settlement_communication,l10n-italy,1,1,0,0,2026-06-09
18.0,19.0,l10n_py,l10n-paraguay,1,1,0,0,2026-07-12
18.0,19.0,l10n_py_account,l10n-paraguay,1,1,0,0,2026-07-29
18.0,19.0,l10n_th_tier_department,l10n-thailand,1,1,0,0,2026-03-17
18.0,19.0,l10n_us_account_routing,l10n-usa,1,1,0,0,2025-03-16
18.0,19.0,l10n_us_partner_legal_number,l10n-usa,1,1,0,0,2025-03-16
18.0,19.0,loyalty_limit,sale-promotion,1,1,0,0,2025-07-10
18.0,19.0,loyalty_multi_gift,sale-promotion,1,1,0,0,2025-07-10
18.0,19.0,partner_match_or_create,donation,1,1,0,0,2026-08-11
18.0,19.0,pricelist_cache,sale-workflow,1,1,0,0,2025-04-16
18.0,19.0,product_pricelist_direct_print_xlsx,product-attribute,1,1,0,0,2026-06-23
18.0,19.0,purchase_blanket_order,purchase-workflow,1,1,0,0,2026-07-14
18.0,19.0,purchase_invoice_status_line,purchase-workflow,1,1,0,0,2026-08-11
18.0,19.0,purchase_operating_unit,operating-unit,1,1,0,0,2025-07-03
18.0,19.0,purchase_order_uninvoiced_amount_line,purchase-workflow,1,1,0,0,2026-06-13
18.0,19.0,purchase_request_exception,purchase-workflow,1,1,0,0,2026-06-27
18.0,19.0,purchase_request_substate,purchase-workflow,1,1,0,0,2025-07-21
18.0,19.0,purchase_request_to_requisition,purchase-workflow,1,1,0,0,2026-08-19
18.0,19.0,purchase_sale_stock_inter_company,multi-company,1,1,0,0,2026-07-08
18.0,19.0,quality_control_stock_oca,manufacture,1,1,0,1,2026-06-13
18.0,19.0,repair_analytic,repair,1,1,0,0,2026-07-20
18.0,19.0,repair_stock,repair,1,1,0,0,2026-07-02
18.0,19.0,repair_timesheet,repair,1,1,0,0,2026-07-02
18.0,19.0,repair_type,repair,1,1,0,0,2026-07-02
18.0,19.0,repair_type_product_destination,repair,1,1,0,0,2026-07-02
18.0,19.0,rma_lot,rma,1,1,0,1,2026-07-22
18.0,19.0,rma_reason,rma,1,1,0,0,2026-07-22
18.0,19.0,sale_channel_category,sale-channel,1,1,0,0,2026-06-05
18.0,19.0,sale_channel_product,sale-channel,1,1,0,0,2026-06-05
18.0,19.0,sale_channel_search_engine_category,sale-channel,1,1,0,0,2026-05-19
18.0,19.0,sale_channel_search_engine_product,sale-channel,1,1,0,0,2026-05-19
18.0,19.0,sale_commission_oca_product_criteria,commission,1,1,0,0,2026-05-17
18.0,19.0,sale_invoicing_date_selection,account-invoicing,1,1,0,0,2026-06-16
18.0,19.0,sale_loyalty_criteria_multi_product,sale-promotion,1,1,0,0,2025-08-25
18.0,19.0,sale_loyalty_multi_gift,sale-promotion,1,1,0,0,2026-03-17
18.0,19.0,sale_loyalty_order_suggestion_multi_gift,sale-promotion,1,1,0,0,2026-06-08
18.0,19.0,sale_loyalty_order_suggestion_multi_product,sale-promotion,1,1,0,0,2025-10-03
18.0,19.0,sale_order_blanket_order,sale-blanket,1,1,0,1,2026-07-01
18.0,19.0,sale_order_invoicing_picking_filter,sale-workflow,1,1,0,0,2026-06-29
18.0,19.0,sale_order_transmit_method,sale-workflow,1,1,0,0,2026-06-09
18.0,19.0,sale_report_delivered,sale-reporting,1,1,0,4,2026-06-25
18.0,19.0,sale_stock_prebook,sale-prebook,1,1,0,1,2026-06-30
18.0,19.0,shopfloor_cluster_picking_repack,stock-logistics-shopfloor,1,1,0,0,2026-07-16
18.0,19.0,shopfloor_dangerous_goods,stock-logistics-shopfloor,1,1,0,0,2026-03-05
18.0,19.0,shopfloor_delivery_shipment,stock-logistics-shopfloor,1,1,0,0,2026-03-12
18.0,19.0,shopfloor_mobile_base_auth_api_key,shopfloor-app,1,1,0,0,2025-05-27
18.0,19.0,shopfloor_reception_package_dimension,stock-logistics-shopfloor,1,1,0,0,2026-04-27
18.0,19.0,shopfloor_single_product_transfer,stock-logistics-shopfloor,1,1,0,0,2026-06-15
18.0,19.0,spec_driven_model,l10n-brazil,1,1,0,0,2026-08-14
18.0,19.0,stock_available_base_exclude_location,stock-logistics-availability,1,1,0,0,2026-04-03
18.0,19.0,stock_available_immediately,stock-logistics-availability,1,1,0,0,2026-08-19
18.0,19.0,stock_available_location_get_domain,stock-logistics-availability,1,1,0,0,2025-06-23
18.0,19.0,stock_available_to_promise_release_delivery,stock-logistics-reservation,1,1,0,0,2026-03-04
18.0,19.0,stock_location_fill_state,stock-logistics-warehouse,1,1,0,1,2025-11-05
18.0,19.0,stock_lot_condition,stock-logistics-warehouse,1,1,0,0,2026-06-25
18.0,19.0,stock_lot_warehouse,stock-logistics-warehouse,1,1,0,0,2026-06-25
18.0,19.0,stock_move_auto_assign,stock-logistics-reservation,1,1,0,0,2025-06-13
18.0,19.0,stock_move_auto_assign_auto_release,stock-logistics-workflow,1,1,0,0,2025-11-24
18.0,19.0,stock_move_line_change_lot,stock-logistics-workflow,1,1,0,0,2026-06-22
18.0,19.0,stock_move_location,stock-logistics-warehouse,1,1,0,0,2026-06-13
18.0,19.0,stock_move_purchase_uom,stock-logistics-warehouse,1,1,0,0,2026-06-25
18.0,19.0,stock_orderpoint_default_location,stock-logistics-orderpoint,1,1,0,0,2025-10-09
18.0,19.0,stock_packaging_calculator,stock-logistics-warehouse,1,1,0,0,2025-03-19
18.0,19.0,stock_picking_completion_info,stock-logistics-warehouse,1,1,0,0,2026-06-25
18.0,19.0,stock_picking_delivery_link,delivery-carrier,1,1,0,0,2026-07-14
18.0,19.0,stock_picking_group_by_base,stock-logistics-workflow,1,1,0,0,2026-06-18
18.0,19.0,stock_picking_progress,stock-logistics-workflow,1,1,0,0,2025-08-21
18.0,19.0,stock_picking_return_lot,stock-logistics-workflow,1,1,0,0,2026-06-18
18.0,19.0,stock_putaway_hook,stock-logistics-putaway,1,1,0,0,2025-05-06
18.0,19.0,stock_split_picking_kit,stock-logistics-workflow,1,1,0,0,2025-12-15
18.0,19.0,stock_storage_category_capacity_name,stock-logistics-warehouse,1,1,0,0,2026-06-25
18.0,19.0,web_filter_header_button,web,1,1,0,0,2025-05-03
18.0,19.0,web_quick_start_screen,web,1,1,0,0,2026-04-13
18.0,19.0,web_tree_dynamic_colored_field,web,1,1,0,0,2024-12-20
18.0,19.0,web_widget_numeric_step,web,1,1,0,1,2026-06-15
18.0,19.0,website_sale_loyalty_page,sale-promotion,1,1,0,0,2025-05-14
18.0,19.0,document_page_mgmtsystem,management-system,4,0,0,0,2026-07-20
18.0,19.0,l10n_ro_stock_account_notice,l10n-romania,1,0,0,0,2026-05-09
18.0,19.0,sale_order_line_chained_move,sale-workflow,1,0,0,0,2025-10-13
